N	Trapezoidal	Simpson
10	1.890498761982714270857286464889	1.905212684313908111377600107517
10010	1.905238678556840925537585462735	1.905238690482669472459065218573
20010	1.905238687498533645126030933170	1.905238690482677244020237594668
30010	1.905238689156000697622062034498	1.905238690482677466064842519700
40010	1.905238689736287405196435429389	1.905238690482689012384298621328
50010	1.905238690004964707824797187641	1.905238690482685237626014895795
60010	1.905238690150889757646268662938	1.905238690482698560302310397674
70010	1.905238690238910459484600323776	1.905238690482676355841817894543
80010	1.905238690296047643357724155067	1.905238690482677244020237594668
90010	1.905238690335221862781622803595	1.905238690482630170563993488031
100010	1.905238690363219689061224926263	1.905238690482684349447595195670
110010	1.905238690383940891592828847934	1.905238690482697450079285772517
120010	1.905238690399723600066295148281	1.905238690482695229633236522204
130010	1.905238690411994673112872078491	1.905238690482665253611571642978
140010	1.905238690421733993574093801726	1.905238690482671914949719393917
150010	1.905238690429595704856069460220	1.905238690482667918146830743353
160010	1.905238690435999693306712288177	1.905238690482713437290840374772
170010	1.905238690441346527393307042075	1.905238690482679464466286844981
180010	1.905238690445845817222902951471	1.905238690482667474057620893291
190010	1.905238690449587490860494654044	1.905238690482662367031707617571
200010	1.905238690452825567334116385609	1.905238690482704999595853223582
210010	1.905238690455586691996359149925	1.905238690482657704095004191913
220010	1.905238690457986550086388888303	1.905238690482616847887697986152
230010	1.905238690460105299706583537045	1.905238690482687013982854296046
240010	1.905238690461945605392202196526	1.905238690482658592273423892038
250010	1.905238690463593620449955778895	1.905238690482682351046150870388
260010	1.905238690464981843319947074633	1.905238690482673025172744019073
270010	1.905238690466283690838622533192	1.905238690482679242421681919950
280010	1.905238690467443207765541046683	1.905238690482671470860509543854
290010	1.905238690468474382910812892078	1.905238690482696339856261147361
300010	1.905238690469410078875966974010	1.905238690482668140191435668385
310010	1.905238690470239415475361965946	1.905238690482685015581409970764
320010	1.905238690470988149883169171517	1.905238690482633723277672288532
330010	1.905238690471725782060730125522	1.905238690482663921343942092790
340010	1.905238690472332407921385311056	1.905238690482687902161273996171
350010	1.905238690472964346867001950159	1.905238690482674801529583419324
360010	1.905238690473422202842357364716	1.905238690482710328666371424333
370010	1.905238690473949114689844464010	1.905238690482644159374103765003
380010	1.905238690474393870033509301720	1.905238690482680796733916395169
390010	1.905238690474897689242084197758	1.905238690482693897365606972016
400010	1.905238690475195006968078814680	1.905238690482699670525335022830
410010	1.905238690475559826253970641119	1.905238690482672359038929243980
420010	1.905238690475869134388631209731	1.905238690482655039559745091537
430010	1.905238690476257490402645089489	1.905238690482651708890671216068
440010	1.905238690476467322554299244075	1.905238690482734309483703327714
450010	1.905238690476753093960837759369	1.905238690482654373425930316444
460010	1.905238690477025764735685697815	1.905238690482669694503670143604
470010	1.905238690477272234247152482567	1.905238690482699892569939947862
480010	1.905238690477442098369920131518	1.905238690482650154578436740849
490010	1.905238690477691232416646016645	1.905238690482743413312505253998
500010	1.905238690477842000703390112903	1.905238690482702557105199048237
510010	1.905238690478053387167278742709	1.905238690482670804726694768760
520010	1.905238690478234575564897568256	1.905238690482610630638760085276
530010	1.905238690478467722400068851130	1.905238690482675689708003119449
540010	1.905238690478593843735666268913	1.905238690482651708890671216068
550010	1.905238690478807450645604149031	1.905238690482733643349888552621
560010	1.905238690478947560791311843786	1.905238690482609076326525610057
570010	1.905238690478999963318074151175	1.905238690482729424502394977026
580010	1.905238690479113428111190842174	1.905238690482688346250483846234
590010	1.905238690479226004725887833047	1.905238690482716545915309325210
600010	1.905238690479366781005410302896	1.905238690482769614575886407692
610010	1.905238690479443164349504513666	1.905238690482632835099252588407
620010	1.905238690479595931037692935206	1.905238690482607522014291134838
630010	1.905238690479678087541515196790	1.905238690482748076249208679656
640010	1.905238690479780228059780711192	1.905238690482798258329921736731
650010	1.905238690479875707239898474654	1.905238690482559116290417478012
660010	1.905238690479972962776855638367	1.905238690482638830303585564252
670010	1.905238690480080432365639353520	1.905238690482650154578436740849
680010	1.905238690480090424372860979929	1.905238690482698116213100547611
690010	1.905238690480219210243717498088	1.905238690482708330264927099051
700010	1.905238690480253627157480877941	1.905238690482690344651928171515
710010	1.905238690480259844406418778817	1.905238690482671470860509543854
720010	1.905238690480306251728848110361	1.905238690482762509148528806691
730010	1.905238690480378638270053670567	1.905238690482648156176992415567
740010	1.905238690480555829864783845551	1.905238690482655261604350016569
750010	1.905238690480570262764103972586	1.905238690482692787142582346860
760010	1.905238690480714813801910167967	1.905238690482629726474783637968
770010	1.905238690480632213208878056321	1.905238690482609520415735460119
780010	1.905238690480740126886871621537	1.905238690482708552309532024083
790010	1.905238690480769214730116800638	1.905238690482639052348190489283
800010	1.905238690480773211533005451201	1.905238690482647934132387490536
810010	1.905238690480836716290014010156	1.905238690482644381418708690035
820010	1.905238690480887120415331992263	1.905238690482701890971384273143
830010	1.905238690480970387142178879003	1.905238690482626395805709762499
840010	1.905238690480955288109043976874	1.905238690482677910154052369762
850010	1.905238690481032559631557887769	1.905238690482588648222872507176
860010	1.905238690481031005319323412550	1.905238690482686125804434595921
870010	1.905238690481123153830367300543	1.905238690482671026771299693792
880010	1.905238690481235286355854441354	1.905238690482735863795937802934
890010	1.905238690481139807175736677891	1.905238690482643493240288989909
900010	1.905238690481188212899610334716	1.905238690482634611456091988657
910010	1.905238690481230179329941165633	1.905238690482657482050399266882
920010	1.905238690481339203230959356006	1.905238690482716990004519175272
930010	1.905238690481252605835038593796	1.905238690482615737664673360996
940010	1.905238690481387386910228087800	1.905238690482654595470535241475
950010	1.905238690481380059438265561766	1.905238690482693897365606972016
960010	1.905238690481364516315920809575	1.905238690482748298293813604687
970010	1.905238690481358077022377983667	1.905238690482719876584383200679
980010	1.905238690481547481070379035373	1.905238690482636387812931388908
990010	1.905238690481429797429768768779	1.905238690482669250414460293541
1000010	1.905238690481515062558059980802	1.905238690482645935730943165254
1010010	1.905238690481585450697821215726	1.905238690482756735988800755877
1020010	1.905238690481680263744124204095	1.905238690482654151381325391412
1030010	1.905238690481567020995612438128	1.905238690482592867070366082771
1040010	1.905238690481521057762392956647	1.905238690482714991603074849991
1050010	1.905238690481578567315068539756	1.905238690482635943723721538845
1060010	1.905238690481619645566979670548	1.905238690482659258407238667132
1070010	1.905238690481643848428916498960	1.905238690482741414911060928716
1080010	1.905238690481594776571228067041	1.905238690482580654617095206049
1090010	1.905238690481692254152790155786	1.905238690482759178479454931221
1100010	1.905238690481683372368593154533	1.905238690482641494838844664628
1110010	1.905238690481674712629001078312	1.905238690482703445283618748363
1120010	1.905238690481719565639195934637	1.905238690482663255210127317696
1130010	1.905238690481776409058056742651	1.905238690482682351046150870388
1140010	1.905238690481801056009203421127	1.905238690482720764762802900805
1150010	1.905238690481803942589067446534	1.905238690482728092234765426838
1160010	1.905238690481717345193146684323	1.905238690482749408516838229843
1170010	1.905238690481854568758990353672	1.905238690482710550710976349365
1180010	1.905238690481729557646417561045	1.905238690482608188148105909931
1190010	1.905238690481815044819313698099	1.905238690482723429298062001180
1200010	1.905238690481910968088641311624	1.905238690482666807923806118197
1210010	1.905238690481835028833756950917	1.905238690482577990081836105674
1220010	1.905238690481879215710137032147	1.905238690482679242421681919950
1230010	1.905238690481849017643867227889	1.905238690482693453276397121954
1240010	1.905238690481922736452702338283	1.905238690482624841493475287280
1250010	1.905238690481857455338854379079	1.905238690482702779149803973269
1260010	1.905238690481942720467145591101	1.905238690482658592273423892038
1270010	1.905238690481927177344800838910	1.905238690482707442086507398926
1280010	1.905238690482013996785326526151	1.905238690482764951639182982035
1290010	1.905238690481950714072922892228	1.905238690482680796733916395169
